web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647921878-9529","https://www.edgeprop.my/buy/johor/all-residential?page=431","RM 449,000","Taman Rinting","Jalan Balau, Masai, Johor","Landed","3 + 1 beds","2 bath","2 carpark","RM 255/sqft","",""
"1647921459-8200","https://www.edgeprop.my/buy/johor/all-residential?page=497","RM 150,000EdgeProp Only","Flat Bunga Daisi","Jalan Bunga Daisi 7, Taman Plentong Baru, 81750 Masai, Johor, Plentong, Johor","Non Landed","3 beds","2 bath","RM 200/sqft","750 sqft","",""
"1647923581-14607","https://www.edgeprop.my/buy/johor/all-residential?page=177","RM 608,000EdgeProp Only","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 434/sqft","1,400 sqft","",""
"1647923384-13979","https://www.edgeprop.my/buy/johor/all-residential?page=208","RM 440,000EdgeProp Only","Taman Ungku Tun Aminah","Jalan Tun Aminah, Skudai, Johor","Landed","7 beds","3 bath","RM 285/sqft","1,540 sqft","",""
"1647921663-8881","https://www.edgeprop.my/buy/johor/all-residential?page=463","RM 418,000","Taman Puteri Wangsa","Jalan Kembia; Jalan Beladau; Jalan Lading; Jalan Jenawi, Ulu Tiram, Johor","Landed","3 beds","2 bath","RM 271/sqft","1,540 sqft","",""
"1647921441-8142","https://www.edgeprop.my/buy/johor/all-residential?page=500","RM 655,000EdgeProp Only","Aspira LakeHomes","Aspira Lakehomes, Gerbang, 79200 Nusajaya, Johor, Gelang Patah, Johor","Landed","4 + 1 beds","4 bath","RM 363/sqft","1,800 sqft","",""
"1647921634-8788","https://www.edgeprop.my/buy/johor/all-residential?page=468","RM 550,000","Taman Mount Austin","Jalan JP Perdana, Johor Bahru, Johor","Landed","4 + 1 beds","3 bath","2 carpark","RM 470/sqft","",""
"1647922228-10688","https://www.edgeprop.my/buy/johor/all-residential?page=373","RM 360,000","Single Storey Terrace House Taman Scientex Pasir G","Single Storey Terrace House Taman Scientex Pasir Gudang Johor,Pasir Gudang,Johor, Pasir Gudang, Johor","Landed","3 beds","2 bath","RM 257/sqft","1,400 sqft","",""
"1647922182-10513","https://www.edgeprop.my/buy/johor/all-residential?page=382","RM 508,000","Taman Scientex Jaya","Taman Scientex Jaya, Jalan Scientex Jaya 11, 81400 Senai, Johor, Senai, Johor","Landed","5 beds","3 bath","RM -","- sqft","",""
"1647920755-5803","https://www.edgeprop.my/buy/johor/all-residential?page=617","RM 130,000","Desa Cemerlang Flat / 3 Room Unit / Freehold","Desa Cemerlang, Ulu Tiram, Johor","Non Landed","3 beds","2 bath","RM 170/sqft","764 sqft","",""
